Mileage,Price,Make,Model,Trim,Type,Cyl,Liter,Doors,Cruise,Sound,Leather
13829,45061.95194,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
788,48310.32954,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,0,1
2616,48365.9809,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
42691,52001.99438,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
31805,55639.08765,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,0,1
29260,57154.44344,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
23193,60567.54909,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
18200,63913.11725,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
15600,65281.48124,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
12021,66374.30704,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
6420,68566.18719,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
7892,69133.73172,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
583,70755.46672,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
31197,21200.69021,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
27168,21403.75642,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
25794,21765.06658,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
20472,21982.64771,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
25651,22189.11597,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
21929,22231.56315,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
19521,22525.26972,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
17273,23449.30633,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
19148,23578.16486,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
11892,25452.47385,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
23976,13034.06853,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
24542,13162.85205,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
19602,13961.11164,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
12420,14841.91705,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
13262,15077.17584,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
4318,15327.10032,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
5788,15604.14582,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,1,1,1
5350,15846.01271,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
3946,15979.01484,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,1,1,1
4188,16379.853,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,1,1,1
36480,25527.01303,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
24960,27370.95811,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
23886,27425.84391,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,0,1
26126,27548.62961,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
27199,28502.30611,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
16193,29595.79429,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,0,1
21418,29664.70269,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,0,1
13678,31024.87211,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
10915,32219.58928,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
9185,32422.76138,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
25285,11903.09775,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,0,1,1
26097,12209.55962,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,0,1,1
24318,12258.85759,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
21891,12464.07346,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
23931,12465.50852,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,0,1,1
19081,12828.03098,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
17830,12830.09878,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
20618,12832.46239,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
19225,12878.04683,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
13145,13160.12456,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,0,1,1
31424,14396.27056,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
21688,14398.92269,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,0
33374,14546.88481,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,1,1
24270,14853.19901,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,0
31791,14869.28207,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,1,1,1
23323,14909.05099,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,1,1
27438,15086.89959,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,1
27887,15174.34661,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,0,0
23062,15297.83597,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,0,0
24239,15505.29381,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,0,0
18206,15568.97424,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
21307,15589.78048,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
23217,15622.1211,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,1,1,1
21391,15730.04627,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,1,1
21461,15802.65286,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
14304,15821.94972,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,1
17053,15977.91108,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,1
18391,16033.93062,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,1,1
22779,16078.66549,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,0,1
19465,16106.82722,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,0,0
16078,16353.09652,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,1,0
8754,16379.0987,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,1,0
18096,16391.92657,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,1,0
19531,16551.21957,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,1,1
9150,16706.67407,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,0
2973,16927.77976,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,0
12610,17214.32508,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,1,1,1
19894,17325.26954,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,0,0
4463,17418.06873,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,1,0,1
12303,17803.27909,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,1,1,1
21616,23274.48071,SAAB,9-2X AWD,Linear Wagon 4D,Wagon,4,2.5,4,1,1,0
25218,23329.20826,SAAB,9-2X AWD,Linear Wagon 4D,Wagon,4,2.5,4,1,0,1
17431,25959.12203,SAAB,9-2X AWD,Linear Wagon 4D,Wagon,4,2.5,4,1,0,1
4836,27280.98206,SAAB,9-2X AWD,Linear Wagon 4D,Wagon,4,2.5,4,1,1,0
50387,22244.87655,SAAB,9_3,Linear Sedan 4D,Sedan,4,2,4,1,0,1
27686,23249.84169,SAAB,9_3,Linear Sedan 4D,Sedan,4,2,4,1,0,0
27674,24063.01268,SAAB,9_3,Linear Sedan 4D,Sedan,4,2,4,1,1,1
26345,24801.61719,SAAB,9_3,Linear Sedan 4D,Sedan,4,2,4,1,1,1
21266,24896.5976,SAAB,9_3,Linear Sedan 4D,Sedan,4,2,4,1,1,0
19569,25299.96964,SAAB,9_3,Linear Sedan 4D,Sedan,4,2,4,1,1,0
21433,25996.8064,SAAB,9_3,Linear Sedan 4D,Sedan,4,2,4,1,1,1
16068,26337.8306,SAAB,9_3,Linear Sedan 4D,Sedan,4,2,4,1,0,0
16688,26775.03209,SAAB,9_3,Linear Sedan 4D,Sedan,4,2,4,1,0,0
35157,27666.23108,SAAB,9_3,Linear Conv 2D,Convertible,4,2,2,1,0,0
3907,29246.23734,SAAB,9_3,Linear Sedan 4D,Sedan,4,2,4,1,0,1
24559,31969.06981,SAAB,9_3,Linear Conv 2D,Convertible,4,2,2,1,0,0
21208,31970.54208,SAAB,9_3,Linear Conv 2D,Convertible,4,2,2,1,1,0
23553,32075.98487,SAAB,9_3,Linear Conv 2D,Convertible,4,2,2,1,1,0
19112,32737.08455,SAAB,9_3,Linear Conv 2D,Convertible,4,2,2,1,1,1
21661,33287.4096,SAAB,9_3,Linear Conv 2D,Convertible,4,2,2,1,0,1
20925,33540.53611,SAAB,9_3,Linear Conv 2D,Convertible,4,2,2,1,0,1
17711,34355.00373,SAAB,9_3,Linear Conv 2D,Convertible,4,2,2,1,1,0
12251,34819.29712,SAAB,9_3,Linear Conv 2D,Convertible,4,2,2,1,0,0
10340,35622.1395,SAAB,9_3,Linear Conv 2D,Convertible,4,2,2,1,1,0
27600,23733.40225,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2,4,1,1,0
27015,24173.52588,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2,4,1,0,0
22814,24852.49528,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2,4,1,1,1
22272,25148.37919,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2,4,1,1,1
34175,25267.36768,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,1,0
20208,25618.28188,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2,4,1,0,1
21160,25790.51414,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2,4,1,1,1
22189,26789.83261,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,0,0
10003,26841.08084,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2,4,1,1,0
17319,27060.13756,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2,4,1,0,1
22598,27109.40589,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,0,1
26400,27256.49451,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,1,0
14281,27284.75133,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2,4,1,1,1
10014,27825.94997,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2,4,1,0,1
22328,28291.76226,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,1,0
48991,28777.95969,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2,2,1,1,1
31655,29142.71439,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2,2,1,1,1
32477,29612.15405,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2,2,1,1,1
14568,30122.42974,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,1,1
25049,30166.85251,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2,2,1,0,0
27558,30251.01842,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2,2,1,0,1
10800,30274.71058,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,1,0
23635,30315.16944,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2,2,1,0,0
11273,30353.58555,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,1,0
22479,30731.94165,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2,2,1,0,0
5144,32053.09716,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,1,0
3867,32197.34047,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2,4,1,1,0
27051,33248.34252,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2,2,1,0,1
17590,33358.76777,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2,2,1,1,1
17381,33381.81915,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2,2,1,1,1
18930,33586.90609,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2,2,1,0,1
25420,33984.43077,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2,2,1,0,0
24031,34392.99527,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2,2,1,0,1
21293,35304.4947,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2,2,1,0,1
21167,35580.33231,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2,2,1,1,0
18195,36338.75133,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2,2,1,1,0
3828,37088.56241,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2,2,1,1,1
16088,37383.50349,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2,2,1,0,1
13162,38167.17358,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2,2,1,0,1
12090,38324.80908,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2,2,1,1,1
40719,24903.47774,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,1,1
38717,24912.08058,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,0,1
36557,25845.20611,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,1,1
31773,26955.0412,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,0,1
26276,28054.98236,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
25247,28432.82421,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
28598,28502.96241,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
25380,28678.07525,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,0,1
26503,28829.028,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,0,1
21960,29114.54451,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,0,1
23143,29844.204,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
22105,29914.37958,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,0,1
20015,29961.25494,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,1,1
22052,30075.99473,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
23426,30271.9223,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,1,1
16225,30322.15057,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,1,1
15050,30443.8799,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,0,1
22298,30575.24882,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,1,1
14278,30661.26015,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,0,1
15087,31002.73442,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
18187,31084.93761,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,1,1
17317,31153.00896,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,0,1
18805,31156.59579,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,1,1
20103,31554.40533,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,1,1
16956,31849.30795,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,0,1
16975,32649.76051,SAAB,9_5,Arc Wagon 4D,Wagon,4,2.3,4,1,1,1
7924,32746.13139,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,0,1
6409,33005.77996,SAAB,9_5,Linear Wagon 4D,Wagon,4,2.3,4,1,1,1
9795,33183.3326,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
1676,35033.21545,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
31344,24405.06676,SAAB,9_5 HO,Aero Sedan 4D,Sedan,4,2.3,4,1,1,1
34269,26012.37462,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,1,1
22590,26653.23939,SAAB,9_5 HO,Aero Sedan 4D,Sedan,4,2.3,4,1,1,1
23055,26698.07815,SAAB,9_5 HO,Aero Sedan 4D,Sedan,4,2.3,4,1,1,1
25357,26792.30016,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,0,1
23204,27241.43618,SAAB,9_5 HO,Aero Sedan 4D,Sedan,4,2.3,4,1,1,1
22881,27610.8642,SAAB,9_5 HO,Aero Sedan 4D,Sedan,4,2.3,4,1,1,1
24738,27703.204,SAAB,9_5 HO,Aero Sedan 4D,Sedan,4,2.3,4,1,1,1
26786,27788.81324,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,0,1
19854,28185.77625,SAAB,9_5 HO,Aero Sedan 4D,Sedan,4,2.3,4,1,1,1
22021,28204.60358,SAAB,9_5 HO,Aero Sedan 4D,Sedan,4,2.3,4,1,1,1
20685,28328.26654,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,0,1
14613,28416.46167,SAAB,9_5 HO,Aero Sedan 4D,Sedan,4,2.3,4,1,0,1
20907,29197.7913,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,0,1
21545,29321.08251,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,0,1
21822,29481.52876,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,1,1
19830,29908.18098,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,1,1
18464,29986.7915,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,0,1
8017,30800.65839,SAAB,9_5 HO,Aero Sedan 4D,Sedan,4,2.3,4,1,0,1
17673,30959.93213,SAAB,9_5 HO,Aero Wagon 4D,Wagon,4,2.3,4,1,1,1
