months,censor,personal,property,cenage
36,0,0,0,-3.731323698
36,0,0,1,-10.31859269
36,0,0,1,1.465117096
36,0,0,1,3.537670142
36,0,0,1,10.64513078
36,0,1,1,-5.727216922
36,0,0,1,-6.408941768
36,0,0,0,-6.942822672
36,0,0,1,0.873741326
36,0,1,1,-1.883274417
36,0,0,1,-8.558154636
36,0,0,1,-2.48560159
36,0,0,1,-3.7367994
36,0,0,1,-3.895594746
36,0,0,1,-9.261782288
36,0,0,1,-6.899017059
36,0,1,0,-7.200180646
36,0,0,1,-5.100249092
36,0,0,0,0.846362818
36,0,0,0,15.40351545
36,0,0,1,-2.340495498
36,0,0,1,1.864843311
36,0,0,1,10.36313215
36,0,0,0,8.307006213
