Infant,MotherRnk,HandlRnk,Passive,Unsuccessful,Successful,Hand.Name,Pass.Act,Hand.ID
5,2,1,3,1,0,NQ,4,3
5,2,1,1,0,0,PO,1,4
5,2,2,0,0,0,HQ,0,5
5,2,2,0,0,0,LL,0,6
5,2,2,0,0,0,NY,0,7
5,2,2,0,0,0,SK,0,9
5,2,2,0,0,0,ST,0,10
5,2,2,1,1,0,WK,2,11
5,2,3,0,0,0,AL,0,12
5,2,3,0,2,0,CO,2,13
5,2,3,0,0,0,DD,0,14
5,2,3,0,0,0,LS,0,15
5,2,3,0,0,0,LY,0,16
5,2,3,2,1,0,MH,3,17
5,2,3,0,0,0,ML,0,18
5,2,3,1,0,0,MM,1,19
5,2,3,1,0,0,PA,1,20
5,2,3,0,0,0,PH,0,21
5,2,3,2,0,1,PT,3,22
5,2,3,0,0,0,RS,0,23
6,3,1,0,2,0,KM,2,1
6,3,1,1,1,0,KN,2,2
6,3,1,4,3,0,NQ,7,3
6,3,1,1,1,1,PO,3,4
6,3,2,0,1,0,HQ,1,5
6,3,2,1,0,0,LL,1,6
6,3,2,1,0,1,NY,2,7
6,3,2,0,0,0,PS,0,8
6,3,2,3,0,0,SK,3,9
6,3,2,11,1,0,ST,12,10
6,3,2,9,5,2,WK,16,11
6,3,3,2,0,1,AL,3,12
6,3,3,1,1,0,DD,2,14
6,3,3,0,0,0,LS,0,15
6,3,3,0,0,0,LY,0,16
6,3,3,2,0,0,MH,2,17
6,3,3,0,0,0,ML,0,18
6,3,3,0,0,0,MM,0,19
6,3,3,1,0,0,PA,1,20
6,3,3,0,0,0,PH,0,21
6,3,3,0,0,0,PT,0,22
6,3,3,2,0,0,RS,2,23
7,3,1,1,0,0,KM,1,1
7,3,1,0,0,0,KN,0,2
7,3,1,1,2,0,NQ,3,3
7,3,1,1,1,0,PO,2,4
7,3,2,0,0,1,HQ,1,5
7,3,2,1,0,0,LL,1,6
7,3,2,0,0,0,NY,0,7
7,3,2,0,0,0,PS,0,8
7,3,2,1,0,1,SK,2,9
7,3,2,0,0,0,ST,0,10
7,3,2,4,0,1,WK,5,11
7,3,3,0,0,2,AL,2,12
7,3,3,1,0,1,CO,2,13
7,3,3,2,0,0,DD,2,14
7,3,3,1,0,0,LY,1,16
7,3,3,3,3,3,MH,9,17
7,3,3,0,2,0,ML,2,18
7,3,3,0,0,0,MM,0,19
7,3,3,0,0,0,PA,0,20
7,3,3,0,0,0,PH,0,21
7,3,3,2,0,1,PT,3,22
7,3,3,2,0,0,RS,2,23
8,3,1,0,0,0,KM,0,1
8,3,1,1,0,0,KN,1,2
8,3,1,5,0,0,NQ,5,3
8,3,1,2,0,0,PO,2,4
8,3,2,1,1,0,HQ,2,5
8,3,2,1,3,0,LL,4,6
8,3,2,1,1,0,NY,2,7
8,3,2,2,0,0,PS,2,8
8,3,2,1,0,1,SK,2,9
8,3,2,4,0,0,ST,4,10
8,3,2,2,3,0,WK,5,11
8,3,3,6,1,0,AL,7,12
8,3,3,1,2,2,CO,5,13
8,3,3,1,1,0,DD,2,14
8,3,3,0,1,0,LS,1,15
8,3,3,0,0,1,LY,1,16
8,3,3,0,4,3,MH,7,17
8,3,3,3,0,1,MM,4,19
8,3,3,1,0,3,PA,4,20
8,3,3,0,1,0,PH,1,21
8,3,3,0,0,0,PT,0,22
8,3,3,2,0,0,RS,2,23
9,3,1,0,3,0,KM,3,1
9,3,1,0,0,0,KN,0,2
9,3,1,6,1,0,NQ,7,3
9,3,1,1,3,0,PO,4,4
9,3,2,1,0,1,HQ,2,5
9,3,2,2,1,0,LL,3,6
9,3,2,0,0,0,NY,0,7
9,3,2,3,1,1,PS,5,8
9,3,2,2,0,0,SK,2,9
9,3,2,3,5,0,ST,8,10
9,3,2,5,7,1,WK,13,11
9,3,3,3,4,0,AL,7,12
9,3,3,5,2,7,CO,14,13
9,3,3,1,1,0,DD,2,14
9,3,3,0,0,0,LS,0,15
9,3,3,0,0,0,LY,0,16
9,3,3,0,2,2,ML,4,18
9,3,3,0,0,0,MM,0,19
9,3,3,6,1,1,PA,8,20
9,3,3,0,0,0,PH,0,21
9,3,3,5,6,2,PT,13,22
9,3,3,5,1,0,RS,6,23
10,3,1,0,2,0,KM,2,1
10,3,1,3,0,0,KN,3,2
10,3,1,3,1,0,NQ,4,3
10,3,1,3,2,0,PO,5,4
10,3,2,0,0,0,HQ,0,5
10,3,2,0,0,0,LL,0,6
10,3,2,0,0,0,NY,0,7
10,3,2,0,0,0,PS,0,8
10,3,2,0,0,0,SK,0,9
10,3,2,3,2,0,ST,5,10
10,3,2,0,1,1,WK,2,11
10,3,3,8,1,0,AL,9,12
10,3,3,1,2,0,CO,3,13
10,3,3,1,0,0,DD,1,14
10,3,3,0,0,0,LS,0,15
10,3,3,0,0,0,LY,0,16
10,3,3,0,1,1,MH,2,17
10,3,3,0,0,0,ML,0,18
10,3,3,1,0,0,PA,1,20
10,3,3,2,0,0,PH,2,21
10,3,3,0,2,0,PT,2,22
10,3,3,2,1,0,RS,3,23
11,3,1,1,1,0,KM,2,1
11,3,1,0,0,0,KN,0,2
11,3,1,5,1,0,NQ,6,3
11,3,1,2,0,2,PO,4,4
11,3,2,2,1,0,HQ,3,5
11,3,2,1,2,1,LL,4,6
11,3,2,0,0,1,NY,1,7
11,3,2,0,0,0,PS,0,8
11,3,2,0,0,0,SK,0,9
11,3,2,13,2,0,ST,15,10
11,3,2,9,0,1,WK,10,11
11,3,3,6,0,2,AL,8,12
11,3,3,3,0,2,CO,5,13
11,3,3,0,0,1,DD,1,14
11,3,3,0,0,0,LS,0,15
11,3,3,2,0,1,LY,3,16
11,3,3,1,0,0,MH,1,17
11,3,3,0,0,1,ML,1,18
11,3,3,5,1,0,MM,6,19
11,3,3,2,0,1,PA,3,20
11,3,3,2,1,4,PT,7,22
11,3,3,4,1,0,RS,5,23
