Name,Gender 1= Male,Age,1= Survived,Family Group Size,,,Only Age Over 14,Gender 1= Male,Age,1=Survived,Family Group Size
"Eddy, Margaret",0,1,0,4,,,"McCutchen, William",1,30,1,3
"Eddy, William",1,28,1,4,,,"Murphy, John",1,15,0,13
"Elliott, Milton",1,28,0,1,,,"Murphy, Lavina",0,50,0,13
"Fosdick, Jay",1,23,0,12,,,"Pike, Harriet",0,21,1,13
"Fosdick, Sarah",0,22,1,12,,,"Pike, William",1,25,0,13
"Foster, George",1,4,0,13,,,"Reed, James",1,46,1,6
"Foster, Sarah",0,23,1,13,,,"Reed, Margret",0,32,1,6
"Foster, William",1,28,1,13,,,"Reinhardt, Joseph",1,30,0,1
"Graves, Eleanor",0,15,1,12,,,"Shoemaker, Samuel",1,25,0,1
"Graves, Elizabeth",0,47,0,12,,,"Smith, James",1,25,0,1
"Graves, Elizabeth",0,1,1,12,,,"Snyder, John",1,25,0,1
"Graves, Franklin, Jr.",1,5,0,12,,,"Spitzer, Augustus",1,30,0,1
"Graves, Franklin.",1,57,0,12,,,"Stanton, Charles",1,35,0,1
"Graves, Jonathan",1,7,1,12,,,"Trubode, J. B.",1,23,1,1
"Graves, Lavina",0,13,1,12,,,"Williams, Baylis",1,24,0,2
"Graves, Mary",0,20,1,12,,,"Williams, Eliza",0,25,1,2
"Graves, Nancy",0,9,1,12,,,"Wolfinger, Mrs.",0,20,1,2
"Graves, William",1,18,1,12,,,,,,,
"Halloran, Luke",1,25,0,1,,,,,,,
"Hardkoop, Mr.",1,60,0,1,,,,,,,
"Herron, William",1,25,1,1,,,,,,,
"Hook, Solomon",1,14,1,16,,,,,,,
"Hook, William",1,12,0,16,,,,,,,
"James, Noah",1,20,1,1,,,,,,,
"Keseberg, Ada",0,3,0,4,,,,,,,
"Keseberg, Lewis",1,32,1,4,,,,,,,
"Keseberg, Lewis, Jr.",1,1,0,4,,,,,,,
"Keseberg, Philippine",0,32,1,4,,,,,,,
"McCutchen, Amanda",0,24,1,3,,,,,,,
"McCutchen, Harriet",0,1,0,3,,,,,,,
"McCutchen, William",1,30,1,3,,,,,,,
"Murphy, John",1,15,0,13,,,,,,,
"Murphy, Lavina",0,50,0,13,,,,,,,
"Murphy, Lemuel",1,12,0,13,,,,,,,
"Murphy, Mary",0,13,1,13,,,,,,,
"Murphy, Simon",1,10,1,13,,,,,,,
"Murphy, William",1,11,1,13,,,,,,,
"Pike, Catherine",0,1,0,13,,,,,,,
"Pike, Harriet",0,21,1,13,,,,,,,
"Pike, Naomi",0,3,1,13,,,,,,,
"Pike, William",1,25,0,13,,,,,,,
"Reed, James",1,46,1,6,,,,,,,
"Reed, James Jr.",1,5,1,6,,,,,,,
"Reed, Margret",0,32,1,6,,,,,,,
"Reed, Patty",0,8,1,6,,,,,,,
"Reed, Thomas",1,3,1,6,,,,,,,
"Reed, Virginia",0,12,1,6,,,,,,,
"Reinhardt, Joseph",1,30,0,1,,,,,,,
"Shoemaker, Samuel",1,25,0,1,,,,,,,
"Smith, James",1,25,0,1,,,,,,,
"Snyder, John",1,25,0,1,,,,,,,
"Spitzer, Augustus",1,30,0,1,,,,,,,
"Stanton, Charles",1,35,0,1,,,,,,,
"Trubode, J. B.",1,23,1,1,,,,,,,
"Williams, Baylis",1,24,0,2,,,,,,,
"Williams, Eliza",0,25,1,2,,,,,,,
"Wolfinger, Mr.",1,*,0,2,,,,,,,
"Wolfinger, Mrs.",0,20,1,2,,,,,,,
