County,Obama,MedianAge,Male,White,AverageFamilySize,BachelorsorHigher,MedianHouseholdIncome,IndividualsBelowPoverty,Population,Registered Democrat
Lyon,30,38.1,49.6,99.1,3.13,14.2,"36,878",7,"11,763",8.9
Madison,33.33,37.9,49.3,98.6,3.04,14.4,"41,845",6.7,"14,019",21.06
Mahaska,28.57,37.2,49.8,97.2,2.96,16.5,"37,314",9.8,"22,335",13.79
Marion,35.65,37.2,49.6,97.5,3.02,18.9,"42,401",7.6,"32,052",19.33
Marshall,38.22,38.6,49.8,90.4,3,17,"38,268",10.2,"39,311",19.03
Mills,26.67,38.1,50.2,98,3.04,16.3,"42,428",8.3,"14,547",12.39
Mitchell,30,40.6,48.9,99.3,3.02,14.6,"34,843",10.7,"10,874",14.62
Monona,31.25,43,48.5,75.1,2.88,13.4,33235,9.4,10020,31.25
Monroe,26.15,39.7,48.7,98.4,2.97,12.6,34877,9,8016,26.15
Montgomery,35.38,40.4,47.4,98.2,2.91,12.9,33214,9.1,11771,35.38
Muscatine,44.97,36.1,49.5,90.7,3.07,17.2,41803,8.9,41722,44.97
O'Brien,27.27,40.7,48.9,98,2.97,14.7,35758,7.3,15102,27.27
Osceola,23.33,39.7,48.7,98,3.03,13.4,34274,7,7003,23.33
Page,30.67,40.2,50.7,96.1,2.87,16.6,35466,12.5,16976,30.67
Palo Alto,29.71,40.7,48.6,98.6,2.96,13.9,32409,10.6,10147,29.71
Plymouth,40,37.8,49.7,98.2,3.12,19.3,41638,6,24849,40
Pocahontas,18,42.5,49.1,98.5,2.91,15,33362,9.1,8662,18
Polk,39.33,34.4,48.5,88.3,3.04,29.7,46116,7.9,374601,39.33
Pottawattamie,26.4,36.5,48.9,96,3.03,15,40089,8.4,87704,26.4
Poweshiek,43.33,38.4,48,96.7,2.88,18.5,37836,9.8,18815,43.33
Ringgold,6.25,43.2,48.5,99.1,2.9,13.4,29110,14.3,5469,6.25
Sac,33,42.1,48.9,98.5,2.92,13.6,32874,9.9,11529,33
Scott,48.29,35.4,48.9,88.5,3.04,24.9,42701,10.5,158668,48.29
Shelby,35,40.5,48.9,98.7,2.99,15.3,37442,6,13173,35
Sioux,37.33,32.8,49,97.3,3.19,19.8,40536,6.4,31589,37.33
Story,40.28,26.5,51.1,91.1,2.94,44.5,40442,14.1,79981,40.28
Tama,35.29,39.1,49.1,90.4,3.01,12.9,37419,10.5,18103,35.29
Taylor,20,41.6,48.5,97.7,2.94,12,31297,12.1,6958,20
Union,25,40.1,47.9,98.4,2.87,14.7,31905,11.4,12309,25
Van Buren,13.33,40.8,49.9,98.6,2.96,11.8,31094,12.7,7809,13.33
Wapello,24.33,39.2,48.7,96.3,2.89,14.6,32188,13.2,36051,24.33
Warren,31.79,36,48.6,98.1,3.05,21.2,50349,5.1,40671,31.79
Washington,38.46,38.8,48.2,97,3.04,16.4,39103,7.6,20670,38.46
Wayne,17.33,43,47.8,98.8,2.89,12.1,29380,14,6730,17.33
Webster,33.75,37.7,50.1,93.4,2.97,16.9,35334,10,40235,33.75
Winnebago,31,39.8,48.9,97.4,2.91,16.5,38381,8.4,11723,31
Winneshiek,44,35.7,49.2,97.9,3.03,20.5,38908,8,21310,44
Woodbury,35.59,34.2,49,87.5,3.13,18.9,38509,10.3,103877,35.59
Worth,26.67,40.7,49.6,98.4,2.88,12.7,36444,8.3,7909,26.67
Wright,37.65,41.4,49,95.9,2.92,13.5,36197,7,14334,37.65
