Movie,RottenTomatoesScore,CreativeType,StorySource,Budget,BoxOfficeGross,OpeningWeekendGross,Genre,MPAA,RunTime,NumberScreensOpeningWeekend,GrossperScreenOpenWeekend
The Chronicles of Narnia: Prince Caspian,66,SciFi,Book,225000000,141621490,55034805,Action,PG,150,3929,14007
The Counterfeiters,94,Historical,Book,6340000,5488570,87514,Documentary,R,98,8,10939
The Curious Case of Benjamin Button,71,SciFi,Book,150000000,127506326,26853816,Documentary,PG13,166,2988,8987
The Dark Knight,94,SciFi,Sequel,185000000,533316061,159411483,Action,PG13,152,4366,36283
The Day the Earth Stood Still,21,SciFi,Remake,80000000,79366978,30480153,Action,PG13,104,3560,8562
The Diving Bell and the Butterfly,93,Drama,Nonfiction,14000000,5107379,75721,Documentary,PG13,112,3,25240
The Duchess,61,Drama,Book,21033000,13823741,190426,Documentary,PG13,110,7,27204
The Express,62,Drama,Book,40000000,9589875,4562675,Documentary,PG,130,2808,1625
The Eye,22,SciFi,Remake,12000000,31418697,12425776,Horror,PG13,98,2436,5101
The Family That Preys,53,Contemporary,Original,10000000,36405889,17381218,Comedy,PG13,111,2070,8397
The Forbidden Kingdom,64,SciFi,Book,55000000,52040293,21401121,Action,PG13,113,3151,6792
The Great Debaters,79,Drama,Nonfiction,15000000,30226144,9184022,Documentary,PG13,126,1171,7843
The Happening,18,SciFi,Original,60000000,64506874,30517109,Horror,R,91,2986,10220
The Haunting of Molly Hartley,3,SciFi,Original,5000000,13350177,5423315,Horror,PG13,82,2652,2045
The House Bunny,39,Contemporary,Original,25000000,48237389,16036,Comedy,PG13,97,2714,3750
The Incredible Hulk,66,SciFi,Sequel,150000000,134518390,55414050,Action,PG13,112,3505,15810
The Kite Runner,66,Contemporary,Book,20000000,15797907,471713,Documentary,PG13,128,35,13478
The Longshots,40,Drama,Nonfiction,23000000,11508423,13215,Documentary,PG,94,2089,1953
The Love Guru,14,Contemporary,Original,62000000,32235793,13907130,Comedy,PG13,87,3012,4617
The Mummy: Tomb of the Dragon Emperor,13,SciFi,Sequel,145000000,102491776,40457770,Action,PG13,112,3760,10760
The Orphanage,86,Contemporary,Original,4000000,6821123,"233,323",Horror,R,105,19,12280
The Other Boleyn Girl,41,Historical,Book,35000000,26814957,8203061,Documentary,PG13,115,1166,7035
The Pineapple Express,68,Contemporary,Original,27000000,87341380,23245025,Comedy,R,111,3072,7567
The Pirates Who Don't Do Anything: A VeggieTales Movie,43,Kids Fiction,Spin-Off,15000000,12701880,4251320,Comedy,G,85,1337,4251320
The Reader,62,Contemporary,Book,32000000,34194407,2380376,Documentary,R,124,8,21006
The Rocker,39,Contemporary,Original,15000000,6409528,4861,Comedy,PG13,102,2784,947
The Ruins,46,Contemporary,Book,8000000,17427926,8003241,Horror,R,90,2812,2846
The Savages,89,Contemporary,Original,45000000,6610326,151859,Documentary,R,113,4,37965
The Secret Life of Bees,58,Historical,Book,11000000,37766350,10527799,Documentary,PG13,114,1,10527799
The Sisterhood of the Traveling Pants 2,64,Contemporary,Sequel,25000000,44087387,10678430,Action,PG13,117,2707,3945
The Spiderwick Chronicles,79,SciFi,Book,90000000,71148699,24740537,Action,PG,96,3847,6431
The Spirit,15,SciFi,Book,60000000,19781879,6463278,Action,PG13,103,2509,2576
The Strangers,44,Contemporary,Original,10000000,52534295,20997985,Horror,R,86,2466,8515
The Tale of Despereaux,55,Kids Fiction,Book,60000000,50818750,10103675,Action,G,93,2758,3663
The Visitor,90,Contemporary,Original,4000000,9422422,86488,Comedy,PG13,104,4,21622
The Water Horse: Legend of the Deep,73,SciFi,Other,45000000,40412817,14070469,Documentary,PG,112,2772,5076
The Women,13,Contemporary,Original,16500000,26902075,10115121,Comedy,PG13,114,2962,3415
The X-Files: I Want to Believe,32,SciFi,Sequel,30000000,20981633,10021753,Action,PG13,104,3185,3147
Then She Found Me,51,Contemporary,Original,3500000,3735717,72594,Comedy,R,100,9,8066
There Will Be Blood,91,Historical,Other,25000000,40218903,302845,Documentary,R,158,2,151423
Traitor,61,Contemporary,Original,22000000,23530831,10006327,Horror,PG13,114,2054,4872
Transporter 3,38,Contemporary,Sequel,40000000,31316973,12063452,Action,PG13,104,2626,4594
Tropic Thunder,82,Contemporary,Original,92000000,110416702,25812796,Comedy,R,107,3319,7777
Twilight,49,SciFi,Book,37000000,191465414,69637740,Documentary,PG13,122,3419,20368
U2 3D,92,Drama,Nonfiction,15000000,10290362,964315,Performance,G,85,61,15808
Under the Same Moon,73,Contemporary,Original,500000,12589108,2770000,Documentary,PG13,106,266,10413
Untraceable,14,Contemporary,Original,35000000,28687835,11354069,Horror,R,101,2316,4902
Valkyrie,61,Drama,Nonfiction,75000000,83077833,21027007,Horror,PG13,121,2711,7756
Vantage Point,35,Contemporary,Original,40000000,72266306,22874936,Horror,PG13,90,3149,7264
Vicky Cristina Barcelona,82,Contemporary,Original,15500000,23213577,3755575,Comedy,PG13,96,692,5427
W.,60,Drama,Nonfiction,25100000,25534493,10505668,Documentary,PG13,129,2,5252834
Walk Hard: The Dewey Cox Story,74,Historical,Original,35000000,18317151,6257174,Comedy,R,96,2650,1575
WALL-E,96,Kids Fiction,Original,180000000,223808164,63087526,Comedy,G,98,3992,15803
Welcome Home Roscoe Jenkins,24,Contemporary,Original,27500000,42436517,16207730,Comedy,PG13,114,2387,6790
What Happens in Vegas...,28,Contemporary,Original,35000000,80276912,20172474,Comedy,PG13,99,3215,6274
Witless Protection,0,Contemporary,Original,7500000,4131640,2116692,Comedy,PG13,97,1333,1588
Yes Man,43,Contemporary,Book,70000000,97690976,18262471,Comedy,PG13,104,3434,5318
You Don't Mess With the Zohan,36,Contemporary,Original,90000000,100018837,38531374,Comedy,PG13,113,3462,11130
Zack and Miri Make a Porno,65,Contemporary,Original,24000000,31457946,10065630,Comedy,R,101,2735,3680
